Popularidad,Duracion_en_ms,Explicitud,Bailabilidad,Energia,Tonalidad,Volumen,Modo,Palabrería,Acustica,Instrumentalidad,En_Vivo,Valencia,Tempo,Firma_de_tiempo,Genero_del_track
5,249253,0.0,0.789,0.736,2,-6.279,0,0.0896,0.136,0.0,0.681,0.782,81.014,4,84
51,274066,0.0,0.432,0.468,0,-8.602,1,0.0259,0.387,0.000148,0.185,0.274,180.016,4,66
42,338026,0.0,0.274,0.485,8,-9.375,1,0.0299,0.0852,0.0,0.129,0.333,146.464,4,103
0,227520,1.0,0.807,0.606,3,-8.871,0,0.0872,0.0946,0.0,0.119,0.304,92.988,4,63
68,291426,0.0,0.569,0.883,2,-4.41,0,0.0748,8.07e-05,7.74e-05,0.0883,0.373,134.001,4,68
25,304440,0.0,0.674,0.869,2,-4.837570065752866,1,0.0398,0.374,0.154,0.089,0.813,117.999,4,1
23,303040,0.0,0.693,0.813,1,-5.398264837293196,0,0.0285,0.00135,0.0,0.203,0.713,117.005,4,57
53,178215,0.0,0.225,0.546,11,-7.595,1,0.051,0.156,0.0,0.174,0.303,63.82,5,52
20,322426,0.0,0.175,0.869,4,-10.012,0,0.0985,0.0161,0.000132,0.278,0.423,75.953,4,47
45,185585,0.0,0.683,0.765,1,-9.362,1,0.0412,0.0124,0.000454,0.21,0.666,172.049,4,32
32,368386,0.0,0.511,0.617,5,-12.154,1,0.0406,0.0219,0.000366,0.99,0.495,107.321,4,88
29,300410,0.0,0.562,0.631620451171585,1,-8.14621637774559,1,0.07512349203425729,0.000233,0.293,0.346,0.613,134.933,4,57
59,337333,0.0,0.353,0.613,9,-8.443118078119776,1,0.031,0.384,0.0123,0.103,0.282,177.375,4,35
43,189160,0.0,0.528,0.718,5,-7.219225326197584,1,0.0418,0.799,6.39e-06,0.791,0.781,109.07,4,73
61,275695,0.0,0.531,0.631620451171585,1,-8.14621637774559,1,0.0907,0.103,0.0,0.0779,0.278,149.934,4,61
19,173733,0.0,0.551,0.259,0,-12.877,1,0.0326,0.785,0.0585,0.177,0.426,85.436,4,49
18,198260,0.0,0.628,0.74,8,-6.261,0,0.257,0.0602,0.0,0.0471,0.785,120.756,5,56
38,187600,0.0,0.588,0.631620451171585,5,-8.14621637774559,0,0.0947,0.0251,0.000203,0.104,0.45,121.961,4,44
53,101437,0.0,0.71,0.464,2,-10.514394876233492,1,0.0316,0.345,0.915,0.163,0.436,124.061,4,5
3,210200,0.0,0.87,0.516,1,-8.006,1,0.0541,0.656,0.00823,0.11,0.53,111.005,4,84
0,112960,0.0,0.576,0.682,3,-4.212,1,0.0369,0.726,0.0,0.236,0.919,145.274,4,83
2,263693,0.0,0.51,0.375,9,-12.04985392082844,1,0.0288,0.812,0.0,0.145,0.25,132.555,4,98
21,379002,0.0,0.586,0.631620451171585,7,-8.14621637774559,1,0.0443,6.46e-05,0.943,0.166,0.0399,179.809,4,43
5,252115,0.0,0.753,0.334,3,-16.452,1,0.0453,0.269,0.125,0.109,0.883,103.99,4,12
11,122040,0.0,0.616,0.815,1,-10.929,1,0.036,0.00449,0.858,0.107,0.113,129.934,4,23
27,132911,0.0,0.852,0.663,1,-7.542,1,0.262,0.126,2.03e-05,0.383,0.752,104.965,4,56
50,257371,0.0,0.651,0.705,11,-7.082,0,0.0521,0.156,0.0,0.0642,0.485,136.023,4,30
40,245313,0.0,0.673,0.855,7,-2.146,1,0.03,0.0358,3.22e-06,0.0721,0.471,102.001,4,36
8,104489,0.0,0.87,0.636,8,-10.163,1,0.0974,0.00697,0.00232,0.2,0.726,147.065,4,62
46,152320,0.0,0.777,0.215,0,-13.706,1,0.0535,0.89,0.00773,0.109,0.221,111.017,4,53
57,204173,0.0,0.545,0.861,3,-4.819,0,0.034,0.0624,0.0,0.131,0.279,105.017,4,41
73,171600,1.0,0.41,0.959,9,-4.563,1,0.0869,0.000324,0.0,0.0766,0.83,193.155,4,82
5,151146,0.0,0.652,0.595,11,-4.04,1,0.117,0.15,0.000106,0.0836,0.421,172.277,4,63
47,145643,0.0,0.553,0.536,10,-10.174,1,0.0295,0.00199,0.419,0.0882,0.748,133.994,4,11
53,252125,0.0,0.483,0.99,8,-4.508,1,0.112,0.00176,0.000958,0.183,0.232,147.111,4,40
0,201280,0.0,0.896,0.859,11,-4.232,0,0.21,0.154,0.000109,0.212,0.938,93.016,4,63
36,273973,0.0,0.788,0.522,1,-14.554,0,0.0384,0.439,0.339,0.119,0.971,122.712,4,45
34,233642,0.0,0.36,0.995,5,-4.435,0,0.104,0.000595,0.000703,0.193,0.139,123.36,4,47
52,212626,0.0,0.325,0.8173069331545693,8,-4.603,1,0.0755,0.0563,0.000299,0.298,0.497,167.538,4,16
27,179663,0.0,0.36,0.987,4,-4.375,0,0.07512349203425729,0.000117,2.8e-05,0.428,0.469,149.949,4,47
